ASIN,产品名称,评论数,star,品牌词,primary_kw,secondary_kw,model
B0D4DVQDR4,RENPHO Foot Massager Machine with Heat,30362,4.3,RENPHO,RENPHO Foot Massager,RENPHO Foot,Foot
B0CQ2QHHG9,RENPHO Leg Massager with Heat,7235,4.0,RENPHO,RENPHO Leg Massager,RENPHO Leg,Leg
B0CGPS5KGC,RENPHO Thermacool Massage Gun,3971,4.7,RENPHO,RENPHO Thermacool Massage,RENPHO Thermacool,Thermacool
B0DCTS4KLS,Dog Grass Large Potty Patch,2489,4.0,Dog Grass,Dog Grass Large Potty Patch,Dog Grass Large,
B07ZJND4FS,Custom Coat GM White Urethane,1954,4.6,Custom Coat,Custom Coat GM White,Custom Coat GM,GM
B0CVQVC17N,FORM 36 Volt Golf Cart Battery Charger,1825,4.6,FORM,FORM 36 Volt,FORM 36,36
B0CLNT8Y2G,ALLWEI LiFePO4 Portable Power Station,1730,4.5,ALLWEI,ALLWEI LiFePO4 Portable,ALLWEI LiFePO4,LiFePO4
B0CQYM4ML1,ALLWEI LiFePO4 Portable Power Station 24,1729,4.5,ALLWEI,ALLWEI LiFePO4 Portable,ALLWEI LiFePO4,LiFePO4
B01N2LP1I0,DELIE 010 High Compression Girdle,1625,4.2,DELIE,DELIE 010 High,DELIE 010,010
B085QKQ3HD,GROWNSY UV Sanitizer and Dryer,1435,4.5,GROWNSY,GROWNSY UV Sanitizer,GROWNSY UV,UV
B0CTXXZSML,RENPHO Foot Massager with Heat,1429,4.5,RENPHO,RENPHO Foot Massager,RENPHO Foot,Foot
B099GP11JW,Emraw Quad Ruled Notebook Spiral,1295,4.6,Emraw,Emraw Quad Ruled Notebook,Emraw Quad,
B0B76QSBSY,Lumos Ultra Smart Bike Helmet Customize,1202,4.6,Lumos,Lumos Ultra Smart,Lumos Ultra,Ultra
B07MCM8NQY,Valera 70in Green Screen Backdrop,710,4.3,Valera,Valera 70in Green Screen,Valera 70in,
B07WX6MCGD,mifo 2021 Upgraded Version O5 True Wireless E,722,4.0,mifo,mifo 2021 Upgraded Version,mifo 2021,
