序号,ASIN,商品名称,评论数,star数,品牌词,最近2月每月搜索量,CPC最小值,CPC最大值,单价,佣金率
1,B0D4DVQDR4,RENPHO Foot Massager with Heat,30362,4.3,RENPHO,待API,待API,待API,$139.98,8%
2,B0CQ2QHHG9,RENPHO Leg Massager with Heat,7235,4.0,RENPHO,待API,待API,待API,$109.99,8%
3,B07ZJND4FS,Custom Coat GM White 1 Gallon Urethane,1954,4.6,Custom Coat,待API,待API,待API,$119.99,14%
4,B01N2LP1I0,DELIE 010 High Compression Girdle,1625,4.2,DELIE,待API,待API,待API,$113.00,14%
5,B085QKQ3HD,GROWNSY UV Sanitizer Dryer,1435,4.5,GROWNSY,待API,待API,待API,$129.99,7%
6,B0CTXXZSML,RENPHO Foot Massager with Heat,1429,4.5,RENPHO,待API,待API,待API,$259.99,7%
7,B0CGPS5KGC,RENPHO Thermacool Massage Gun,3971,4.7,RENPHO,待API,待API,待API,$109.99,8%
8,B0CLNT8Y2G,ALLWEI Portable Power Station 1200W,1730,4.5,ALLWEI,待API,待API,待API,$589.00,4%
9,B0DCTS4KLS,Dog Grass Large Potty Patch,2489,4.0,Dog Grass,待API,待API,待API,$109.99,18%
10,B099GP11JW,Emraw Quad Ruled Notebook Spiral,1295,4.6,Emraw,待API,待API,待API,$106.00,18%
11,B07DCF24YJ,KUMA Professional Damascus Knife,439,4.7,KUMA,待API,待API,待API,$144.97,23%
12,B07MCM8NQY,Valera 70in Green Screen Backdrop,710,4.3,Valera,待API,待API,待API,$139.00,21%
13,B079THJH1W,Open Goaaal Soccer Rebounder,559,4.3,Open Goaaal,待API,待API,待API,$264.00,18%
14,B086DCVHQD,Open Goal Soccer Rebounder,551,4.3,Open Goal,待API,待API,待API,$314.00,18%
15,B0CVQVC17N,FORM 36 Volt Golf Cart Battery Charger,1825,4.6,FORM,待API,待API,待API,$259.95,18%
16,B0CQYM4ML1,ALLWEI Portable Power Station 2400W,1729,4.5,ALLWEI,待API,待API,待API,"$1,299",18%
17,B0B76QSBSY,Lumos Ultra Smart Bike Helmet,1202,4.6,Lumos,1000,待API,待API,$139.95,7%
18,B09GNX8GGT,Xtreme Mats Golf Cart Floor Mat,823,4.8,Xtreme Mats,待API,待API,待API,$117.00,18%
19,B07WX6MCGD,mifo O5 True Wireless Earbuds,722,4.0,mifo,待API,待API,待API,$139.00,18%
20,B0CN6962N1,Heavy Duty Fire Pit Tools Set,613,4.8,Heavy Duty,待API,待API,待API,$109.99,18%
