ASIN,product_name,brand_name,original_price,discount_price,discount,rating,reviews,commission,acc_commission,category,subcategory,availability,country_code,url,link,has_promo,has_acc
B0GGNBQDD7,Tigeridea Sneakers for Women Comfortable Business Casual Tennis Shoes Lightweight Slip on Footwear Women's Fashion Retro Sneakers,Tigeridea,$49.99,$49.99,0%,4.2,373,15%,,"Clothing, Shoes & Jewelry",Fashion Sneakers,IN_STOCK,US,https://www.amazon.com/dp/B0GGNBQDD7,,No,No
B0GYRPLFND,Tigeridea Fashion Sneakers for Women Mary Jane Sneakerina Ballet Sneakers Comfortable Ballet Flat Two Strap Flat Shoes,Tigeridea,$49.99,$49.99,0%,4.2,73,15%,,"Clothing, Shoes & Jewelry",Fashion Sneakers,IN_STOCK,US,https://www.amazon.com/dp/B0GYRPLFND,,No,No
B0GYRRHXQ7,Tigeridea Fashion Sneakers for Women Mary Jane Sneakerina Ballet Sneakers Comfortable Ballet Flat Two Strap Flat Shoes,Tigeridea,$49.99,$49.99,0%,4.2,73,15%,,"Clothing, Shoes & Jewelry",Fashion Sneakers,IN_STOCK,US,https://www.amazon.com/dp/B0GYRRHXQ7,,No,No
B0GYRT7CMC,Tigeridea Fashion Sneakers for Women Mary Jane Sneakerina Ballet Sneakers Comfortable Ballet Flat Two Strap Flat Shoes,Tigeridea,$49.99,$49.99,0%,4.2,73,15%,,"Clothing, Shoes & Jewelry",Fashion Sneakers,IN_STOCK,US,https://www.amazon.com/dp/B0GYRT7CMC,,No,No
B0GYRP9HS4,Tigeridea Fashion Sneakers for Women Mary Jane Sneakerina Ballet Sneakers Comfortable Ballet Flat Two Strap Flat Shoes,Tigeridea,$49.99,$49.99,0%,4.2,73,15%,,"Clothing, Shoes & Jewelry",Fashion Sneakers,IN_STOCK,US,https://www.amazon.com/dp/B0GYRP9HS4,,No,No
B0GYRHDQDZ,Tigeridea Fashion Sneakers for Women Mary Jane Sneakerina Ballet Sneakers Comfortable Ballet Flat Two Strap Flat Shoes,Tigeridea,$49.99,$49.99,0%,4.2,73,15%,,"Clothing, Shoes & Jewelry",Fashion Sneakers,IN_STOCK,US,https://www.amazon.com/dp/B0GYRHDQDZ,,No,No
B0GYRW8NGQ,Tigeridea Fashion Sneakers for Women Mary Jane Sneakerina Ballet Sneakers Comfortable Ballet Flat Two Strap Flat Shoes,Tigeridea,$49.99,$49.99,0%,4.2,73,15%,,"Clothing, Shoes & Jewelry",Fashion Sneakers,IN_STOCK,US,https://www.amazon.com/dp/B0GYRW8NGQ,,No,No
B0GYRKN3M4,Tigeridea Fashion Sneakers for Women Mary Jane Sneakerina Ballet Sneakers Comfortable Ballet Flat Two Strap Flat Shoes,Tigeridea,$49.99,$49.99,0%,4.2,73,15%,,"Clothing, Shoes & Jewelry",Fashion Sneakers,IN_STOCK,US,https://www.amazon.com/dp/B0GYRKN3M4,,No,No
B0GYRM63F6,Tigeridea Fashion Sneakers for Women Mary Jane Sneakerina Ballet Sneakers Comfortable Ballet Flat Two Strap Flat Shoes,Tigeridea,$49.99,$49.99,0%,4.2,73,15%,,"Clothing, Shoes & Jewelry",Fashion Sneakers,IN_STOCK,US,https://www.amazon.com/dp/B0GYRM63F6,,No,No
B0GYRQ721W,Tigeridea Fashion Sneakers for Women Mary Jane Sneakerina Ballet Sneakers Comfortable Ballet Flat Two Strap Flat Shoes,Tigeridea,$49.99,$49.99,0%,4.2,73,15%,,"Clothing, Shoes & Jewelry",Fashion Sneakers,IN_STOCK,US,https://www.amazon.com/dp/B0GYRQ721W,,No,No
