ASIN,产品名称,评论数,star数,品牌词,关键词1(品牌+产品),关键词2(品牌+型号),搜索量
B0D4DVQDR4,RENPHO Foot Massager Machine with Heat,30362,4.3,RENPHO,RENPHO Foot Massager Machine,RENPHO Foot,待确认
B0CQ2QHHG9,RENPHO Leg Massager with Heat,7235,4.0,RENPHO,RENPHO Leg Massager Heat,RENPHO Leg,待确认
B0CGPS5KGC,RENPHO Thermacool Massage Gun,3971,4.7,RENPHO,RENPHO Thermacool Massage Gun,RENPHO Thermacool,待确认
B0DCTS4KLS,Dog Grass Large Potty Patch,2489,4.0,Dog Grass,Dog Grass Large Potty Patch,Dog Grass Large,待确认
B07ZJND4FS,Custom Coat GM White Urethane,1954,4.6,Custom Coat,Custom Coat GM White Urethane,Custom Coat GM,待确认
B0CVQVC17N,FORM 36 Volt Golf Cart Battery Charger,1825,4.6,FORM,FORM 36 Volt Golf,FORM 36,待确认
B0CLNT8Y2G,ALLWEI LiFePO4 Portable Power Station,1730,4.5,ALLWEI,ALLWEI LiFePO4 Portable Power,ALLWEI LiFePO4,待确认
B0CQYM4ML1,ALLWEI LiFePO4 Portable Power Station 24,1729,4.5,ALLWEI,ALLWEI LiFePO4 Portable Power,ALLWEI LiFePO4,待确认
B01N2LP1I0,DELIE 010 High Compression Girdle,1625,4.2,DELIE,DELIE 010 High Compression,DELIE 010,待确认
B085QKQ3HD,GROWNSY UV Sanitizer and Dryer,1435,4.5,GROWNSY,GROWNSY UV Sanitizer Dryer,GROWNSY UV,待确认
B0CTXXZSML,RENPHO Foot Massager with Heat,1429,4.5,RENPHO,RENPHO Foot Massager Heat,RENPHO Foot,待确认
B099GP11JW,Emraw Quad Ruled Notebook Spiral,1295,4.6,Emraw,Emraw Quad Ruled Notebook,Emraw Quad,待确认
B0B76QSBSY,Lumos Ultra Smart Bike Helmet Customize,1202,4.6,Lumos,Lumos Ultra Smart Bike,Lumos Ultra,待确认
B07MCM8NQY,Valera 70in Green Screen Backdrop,710,4.3,Valera,Valera 70in Green Screen,Valera 70in,待确认
B07WX6MCGD,mifo 2021 Upgraded Version O5 True Wireless Earbud,722,4.0,mifo,mifo 2021 Upgraded Version,mifo 2021,待确认
B0CN6962N1,Heavy Duty Fire Pit Tools Set,613,4.8,Heavy,Heavy Duty Fire Pit Tools,Heavy Duty Fire,待确认
B09GNX8GGT,Xtreme Mats Golf Cart Floor Mat Compatible,823,4.8,Xtreme Mats,Xtreme Mats Golf Cart Floor,Xtreme Mats Golf,待确认
B086DCVHQD,Open Goal Soccer Rebounder Goal Backst,551,4.3,Open Goaaal,Open Goal Soccer Rebounder Goal,Open Goal Soccer,待确认
B0CVQVGZX5,FORM 48 Volt Golf Cart Battery Charger,836,4.5,FORM,FORM 48 Volt Golf,FORM 48,待确认
B01N45MSAV,DELIE Faja Colombiana 021 High Compression,202,4.1,DELIE,DELIE Faja Colombiana 021,DELIE Faja,待确认
B0C42GHHCJ,Aiwa Portable Boombox Crystal Clear Sound,396,4.1,Aiwa,Aiwa Portable Boombox Crystal,Aiwa Portable,待确认
B0CVQVLC8L,FORM 48 Volt Golf Cart Battery Charger,516,4.4,FORM,FORM 48 Volt Golf,FORM 48,待确认
B07H23Z7XT,Berkling Tools 7102 Compact Low Vibration,148,4.3,Berkling Tools,Berkling Tools 7102 Compact Low,Berkling Tools 7102,待确认
B097C6HN17,GAMMA+ X-Evo Trimmer Microchipped Magnetic,154,4.0,GAMMA+,GAMMA+ X-Evo Trimmer Microchipped,GAMMA+ X-Evo,待确认
B07F1SCZ39,Large Smart Hydroponics Growing System,358,4.0,Large,Smart Hydroponics Large Growing System,Smart Hydroponics Large,待确认
B09TJZSFJ9,WYRESTORM 4K Webcam with AI Tracking,106,4.1,WYRESTORM,WYRESTORM 4K Webcam AI,WYRESTORM 4K,待确认
B086QJVHVD,ULTRALOQ Smart Lock U-Bolt Pro with WiFi,128,4.4,ULTRALOQ,ULTRALOQ Smart Lock U-Bolt,ULTRALOQ Smart,待确认
B0DBHKHPDX,DC HOUSE 48V 100Ah Lithium Golf Cart Battery,181,4.5,DC HOUSE,DC HOUSE 48V 100Ah Lithium,DC HOUSE 48V,待确认
