ASIN,product_name,brand_name,original_price,discount_price,discount,rating,reviews,commission,acc_commission,category,subcategory,availability,country_code,url,link,has_promo,has_acc
B0C3LZGMKK,Membrane Solutions UV Countertop Gravity Water Filtration System Replacement Filter Elements - 6 Packs (U3P),Membrane Solutions,$103.99,$103.99,0%,4.7,64,15%,,Tools & Home Improvement,Replacement Under-Sink Water Filters,IN_STOCK,US,https://www.amazon.com/dp/B0C3LZGMKK,,No,No
B0G6KDY2SX,"SEESII Electric Pruning Shears Cordless: 2.2"" Cutting Diameter Power Cordless Pruner, 2*4000mAh Batteries, Brushless Motor, Extra SK5 Blade, 4 Modes Adjustable Garden Shears for Tree Flower ",SEESII US,$149.99,$119.99,20%,4.8,38,15%,,"Patio, Lawn & Garden",Pruning Shears,IN_STOCK,US,https://www.amazon.com/dp/B0G6KDY2SX,,No,No
B0DY1C8J81,"Cosori 9-in-1 TurboBlaze Air Fryer 6 Qt, Premium Ceramic Coating, 90°–450°F, Precise Heating for Even Results, Air Fry, Roast, Bake, Broil, Dry, Frozen, Proof, Reheat, Keep Warm, 120V, Light",COSORI,$129.99,$129.99,0%,4.8,19855,0%,,Home & Kitchen,Air Fryers,IN_STOCK,US,https://www.amazon.com/dp/B0DY1C8J81,,No,No
B0C7VLHMQR,"roborock Q5 Pro Robot Vacuum and Mop Combo, 5500Pa Powerful Suction, DuoRoller Brush, LiDAR Navigation, 3D Mapping, Robotic Cleaner for Dirt, Floors, Pet Hair, 240min Runtime, Smart No-Go Zo",Roborock Amazon US,$249.99,$249.99,0%,4.0,2784,13%,,Home & Kitchen,Robotic Vacuums,IN_STOCK,US,https://www.amazon.com/dp/B0C7VLHMQR,,No,No
B0DNDTP9CJ,"Roborock Qrevo Edge S5A Robot Vacuum and Mop, 18,500Pa, Zero-Tangling, DuoDivide Main Brush, FlexiArm Side Brush, Hot Water Mop Washing & Self-Cleaning, Warm Air Drying, Self-Emptying, Black",Roborock Amazon US,$999.99,$999.99,0%,4.3,487,13%,,Home & Kitchen,Robotic Vacuums,IN_STOCK,US,https://www.amazon.com/dp/B0DNDTP9CJ,,No,No
B0GWQ6WYZ8,"Coolife Hardside Luggage Upgrade Durable PC Lightweight Travel Suitcases with Dual Spinner Wheels & TSA Lock (Navy, Checked-Large 28-Inch) Navy Checked-Large 28-Inch",Coolife,$119.99,$119.99,0%,4.6,30,,10.00,"Clothing, Shoes & Jewelry",Carry-Ons,IN_STOCK,US,https://www.amazon.com/dp/B0GWQ6WYZ8,,No,Yes
B0C77JH9PD,"Mom's Choice-GROWNSY Baby Gate for Stairs, 29.5""-48.4"" Pressure Mounted Baby Gate for Top of Stair&Doorway with V-Shaped Rods, Anti-Trip Pedal, Extra Wide Stairs Dog Gate Easy Install w/Red ",GROWNSY,$129.00,$129.00,0%,4.3,621,17%,,Baby Products,Door & Stair Gates,IN_STOCK,US,https://www.amazon.com/dp/B0C77JH9PD,,No,No
B0CYZD34VF,"eufy Security Heated Breast Pump S1, Hands-Free Breast Pump with Industry-Leading HeatFlow Tech, App-Controlled OptiRhythm, 300 mmHg Strong Suction, Leakproof, Slim and 46 dB Quiet for in-Br",eufy Security,$239.99,$239.99,0%,4.4,616,3%,,Baby Products,Electric,IN_STOCK,US,https://www.amazon.com/dp/B0CYZD34VF,,No,No
B0CYZLT7M2,"eufy Security Heated Wearable Breast Pump S1 Pro, Slim Hands-Free with Industry-Leading HeatFlow Tech, Wireless Charging Case, App-Controlled OptiRhythm, 300 mmHg Strong Suction, in-Bra Use",eufy Security,$349.99,$349.99,0%,4.2,1625,3%,,Baby Products,Electric,IN_STOCK,US,https://www.amazon.com/dp/B0CYZLT7M2,,No,No
B0D3PK2JQ8,"Anker Prime Power Bank, 27,650mAh 3-Port 250W Portable Charger for Travel, TSA-Approved, Smart App, for MacBook Pro/Air, iPhone 16/15/14 Series, Samsung, Laptops, and More",Anker,$159.99,$159.99,0%,4.5,616,9%,,Cell Phones & Accessories,Portable Power Banks,IN_STOCK,US,https://www.amazon.com/dp/B0D3PK2JQ8,,No,No
B0GTKC8KDV,"Outdoor Potting Bench with Storage, Outdoor Garden Work Table & Storage Cabinet with Adjustable Shelves, Lockable Wheels, Waterproof Metal Top Workstation for Potting, Gardening, Backyard, P",Petscosset,$129.99,$129.99,0%,4.1,135,20%,,"Patio, Lawn & Garden",Storage Sheds,IN_STOCK,US,https://www.amazon.com/dp/B0GTKC8KDV,,No,No
B0GN23ZMPF,"Potting Bench Table & Outdoor Storage Cabinet with Lockable Wheels, Adjustable Shelves, Mobile Waterproof Metal Top Workstation for Garden Patio BBQ Organization, Magnetic Latch & Edge Guard",Petscosset,$129.99,$129.99,0%,4.1,190,20%,,"Patio, Lawn & Garden",Storage Sheds,IN_STOCK,US,https://www.amazon.com/dp/B0GN23ZMPF,,No,No
B0GTYYBQYX,"Aiper 2026 Scuba S1 Robotic Pool Cleaner, Weekly Custom Cleaning Plan, 270 Min Runtime, Over-the-Waterline Scrubbing, Smarter Navigation with 11 High-Precision Sensors, App Support-Blue",Aiper US,$779.99,$549.99,29%,4.5,798,10%,,"Patio, Lawn & Garden",Suction Pool Cleaners,IN_STOCK,US,https://www.amazon.com/dp/B0GTYYBQYX,,No,No
