ASIN,product_name,brand_name,original_price,discount_price,discount,rating,reviews,commission,acc_commission,category,subcategory,availability,country_code,url,link,has_promo,has_acc
B0C3LZGMKK,Membrane Solutions UV Countertop Gravity Water Filtration System Replacement Filter Elements - 6 Packs (U3P),Membrane Solutions,$103.99,$103.99,0%,4.7,64,15%,,Tools & Home Improvement,Replacement Under-Sink Water Filters,IN_STOCK,US,https://www.amazon.com/dp/B0C3LZGMKK,,No,No
B0G6KDY2SX,"SEESII Electric Pruning Shears Cordless: 2.2"" Cutting Diameter Power Cordless Pruner, 2*4000mAh Batteries, Brushless Motor, Extra SK5 Blade, 4 Modes Adjustable Garden Shears for Tree Flower ",SEESII US,$149.99,$119.99,20%,4.8,38,15%,,"Patio, Lawn & Garden",Pruning Shears,IN_STOCK,US,https://www.amazon.com/dp/B0G6KDY2SX,,No,No
B0DY1C8J81,"Cosori 9-in-1 TurboBlaze Air Fryer 6 Qt, Premium Ceramic Coating, 90°–450°F, Precise Heating for Even Results, Air Fry, Roast, Bake, Broil, Dry, Frozen, Proof, Reheat, Keep Warm, 120V, Light",COSORI,$129.99,$129.99,0%,4.8,19855,0%,,Home & Kitchen,Air Fryers,IN_STOCK,US,https://www.amazon.com/dp/B0DY1C8J81,,No,No
B0C7VLHMQR,"roborock Q5 Pro Robot Vacuum and Mop Combo, 5500Pa Powerful Suction, DuoRoller Brush, LiDAR Navigation, 3D Mapping, Robotic Cleaner for Dirt, Floors, Pet Hair, 240min Runtime, Smart No-Go Zo",Roborock Amazon US,$249.99,$249.99,0%,4.0,2784,13%,,Home & Kitchen,Robotic Vacuums,IN_STOCK,US,https://www.amazon.com/dp/B0C7VLHMQR,,No,No
B0DNDTP9CJ,"Roborock Qrevo Edge S5A Robot Vacuum and Mop, 18,500Pa, Zero-Tangling, DuoDivide Main Brush, FlexiArm Side Brush, Hot Water Mop Washing & Self-Cleaning, Warm Air Drying, Self-Emptying, Black",Roborock Amazon US,$999.99,$999.99,0%,4.3,487,13%,,Home & Kitchen,Robotic Vacuums,IN_STOCK,US,https://www.amazon.com/dp/B0DNDTP9CJ,,No,No
B0GWQ6WYZ8,"Coolife Hardside Luggage Upgrade Durable PC Lightweight Travel Suitcases with Dual Spinner Wheels & TSA Lock (Navy, Checked-Large 28-Inch) Navy Checked-Large 28-Inch",Coolife,$119.99,$119.99,0%,4.6,30,,10.00,"Clothing, Shoes & Jewelry",Carry-Ons,IN_STOCK,US,https://www.amazon.com/dp/B0GWQ6WYZ8,,No,Yes
B0C77JH9PD,"Mom's Choice-GROWNSY Baby Gate for Stairs, 29.5""-48.4"" Pressure Mounted Baby Gate for Top of Stair&Doorway with V-Shaped Rods, Anti-Trip Pedal, Extra Wide Stairs Dog Gate Easy Install w/Red ",GROWNSY,$129.00,$129.00,0%,4.3,621,17%,,Baby Products,Door & Stair Gates,IN_STOCK,US,https://www.amazon.com/dp/B0C77JH9PD,,No,No
B0CYZD34VF,"eufy Security Heated Breast Pump S1, Hands-Free Breast Pump with Industry-Leading HeatFlow Tech, App-Controlled OptiRhythm, 300 mmHg Strong Suction, Leakproof, Slim and 46 dB Quiet for in-Br",eufy Security,$239.99,$239.99,0%,4.4,616,3%,,Baby Products,Electric,IN_STOCK,US,https://www.amazon.com/dp/B0CYZD34VF,,No,No
B0CYZLT7M2,"eufy Security Heated Wearable Breast Pump S1 Pro, Slim Hands-Free with Industry-Leading HeatFlow Tech, Wireless Charging Case, App-Controlled OptiRhythm, 300 mmHg Strong Suction, in-Bra Use",eufy Security,$349.99,$349.99,0%,4.2,1625,3%,,Baby Products,Electric,IN_STOCK,US,https://www.amazon.com/dp/B0CYZLT7M2,,No,No
B0D3PK2JQ8,"Anker Prime Power Bank, 27,650mAh 3-Port 250W Portable Charger for Travel, TSA-Approved, Smart App, for MacBook Pro/Air, iPhone 16/15/14 Series, Samsung, Laptops, and More",Anker,$159.99,$159.99,0%,4.5,616,9%,,Cell Phones & Accessories,Portable Power Banks,IN_STOCK,US,https://www.amazon.com/dp/B0D3PK2JQ8,,No,No
B0GTKC8KDV,"Outdoor Potting Bench with Storage, Outdoor Garden Work Table & Storage Cabinet with Adjustable Shelves, Lockable Wheels, Waterproof Metal Top Workstation for Potting, Gardening, Backyard, P",Petscosset,$129.99,$129.99,0%,4.1,135,20%,,"Patio, Lawn & Garden",Storage Sheds,IN_STOCK,US,https://www.amazon.com/dp/B0GTKC8KDV,,No,No
B0GN23ZMPF,"Potting Bench Table & Outdoor Storage Cabinet with Lockable Wheels, Adjustable Shelves, Mobile Waterproof Metal Top Workstation for Garden Patio BBQ Organization, Magnetic Latch & Edge Guard",Petscosset,$129.99,$129.99,0%,4.1,190,20%,,"Patio, Lawn & Garden",Storage Sheds,IN_STOCK,US,https://www.amazon.com/dp/B0GN23ZMPF,,No,No
B0GTYYBQYX,"Aiper 2026 Scuba S1 Robotic Pool Cleaner, Weekly Custom Cleaning Plan, 270 Min Runtime, Over-the-Waterline Scrubbing, Smarter Navigation with 11 High-Precision Sensors, App Support-Blue",Aiper US,$779.99,$549.99,29%,4.5,798,10%,,"Patio, Lawn & Garden",Suction Pool Cleaners,IN_STOCK,US,https://www.amazon.com/dp/B0GTYYBQYX,,No,No
B0H11XS6Y4,"(2026 New) AIPER Experts Duo: Scuba V3 & EcoSurfer S2, 360° Top-to-Bottom Cleaning, 7 Day Hands-Free Care, 10x Faster Pool Cleaning with AI Patrol, Smart Parking & Water Quality Maintenance,",Aiper US,$1499.99,$1249.99,16%,4.3,148,10%,,"Patio, Lawn & Garden",Robotic Pool Cleaners,IN_STOCK,US,https://www.amazon.com/dp/B0H11XS6Y4,,No,No
B0F9W6DZ1J,"YESWELDER 6-In-1 Multifunctional Welders Combo&Plasma Cutter, MIG/Flux Core MIG/CUT/TIG/Stick/Spool Gun Compatible, 200A MIG/TIG/Stick & 50A CUT, 110V/220V MCT-520",YESWELDER,$699.99,$569.99,18%,4.4,54,15%,,Tools & Home Improvement,MIG Welding Equipment,IN_STOCK,US,https://www.amazon.com/dp/B0F9W6DZ1J,,No,No
B0BNJYSVVS,"Worx Nitro 20V Cordless 1/2"" Drill Driver With Brushless Motor - Compact & Lightweight Set Only 6"" and 3 lbs. - Power Share Compatible WX130L - Batteries & Charger Included, Black",WORX US_AMZ,$119.99,$119.99,0%,4.7,136,1%,,Tools & Home Improvement,Drill Drivers,IN_STOCK,US,https://www.amazon.com/dp/B0BNJYSVVS,,No,No
B0C7VN9NWK,"roborock Q5 Pro+ Robot Vacuum and Mop, Self-Emptying, 5500 Pa Max Suction, DuoRoller Brush, Hands-Free Cleaning for up to 7 Weeks, Precise Navigation, Perfect for Hard Floors, Carpets, and P",Roborock Amazon US,$699.99,$648.27,7%,4.0,18394,13%,,Industrial & Scientific,Robotic Vacuums,IN_STOCK,US,https://www.amazon.com/dp/B0C7VN9NWK,,No,No
B0CL3XB8QS,"Coolife Luggage 3 Piece Set Suitcase Spinner ABS+PC Hardshell Lightweight TSA Lock USB Port, 20in 24in 28in Carry on Expandable (only 28’’), Navy Blue",Coolife,$139.99,$129.99,7%,4.6,635,,10.00,"Clothing, Shoes & Jewelry",Carry-Ons,IN_STOCK,US,https://www.amazon.com/dp/B0CL3XB8QS,,No,Yes
B0CL3WSX9B,"Coolife Luggage 3 Piece Set Suitcase Spinner ABS+PC Hardshell Lightweight TSA Lock USB Port, 20in 24in 28in Carry on Expandable (only 28’’), Silver",Coolife,$139.99,$139.99,0%,4.6,635,,10.00,"Clothing, Shoes & Jewelry",Carry-Ons,IN_STOCK,US,https://www.amazon.com/dp/B0CL3WSX9B,,No,Yes
B0GLX2GZ7P,"Soundcore AeroFit 2 Pro by Anker, Open-Ear with Semi-in-Ear Active Noise Cancellation, Dual-Form Earbuds, Adjustable Ear Hooks, Hi-Res, LDAC, 4-Mic AI Clear Calls, IP55 Water-Proof, Wireless",soundcore,$179.99,$149.99,16%,4.2,115,10%,,Electronics,Open-Ear Headphones,IN_STOCK,US,https://www.amazon.com/dp/B0GLX2GZ7P,,No,No
B0FMK7B191,"Soundcore AeroFit 2 Pro by Anker, Open-Ear and Active Noise Cancellation Modes, Hi-Res Open Ear Headphones for Commute,Office,Fitness, LDAC, 4-Mic AI Clear Calls, 34H, IP55, Wireless Bluetoo",soundcore,$179.99,$179.99,0%,4.2,114,3%,,Electronics,Open-Ear Headphones,IN_STOCK,US,https://www.amazon.com/dp/B0FMK7B191,,No,No
B0FMJP7T3M,"Soundcore AeroFit 2 Pro by Anker, Open-Ear and Active Noise Cancellation Modes, Hi-Res Open Ear Headphones for Commute,Office,Fitness, LDAC, 4-Mic AI Clear Calls, 34H, IP55, Wireless Bluetoo",soundcore,$179.99,$179.99,0%,4.2,114,3%,,Electronics,Open-Ear Headphones,IN_STOCK,US,https://www.amazon.com/dp/B0FMJP7T3M,,No,No
B0FMK8VMD8,"Soundcore AeroFit 2 Pro by Anker, Open-Ear and Active Noise Cancellation Modes, Hi-Res Open Ear Headphones for Commute,Office,Fitness, LDAC, 4-Mic AI Clear Calls, 34H, IP55, Wireless Bluetoo",soundcore,$179.99,$179.99,0%,4.2,114,3%,,Electronics,Over-Ear Headphones,IN_STOCK,US,https://www.amazon.com/dp/B0FMK8VMD8,,No,No
B0GQH6134D,"eufy Security eufy Smart Display E10, Smart Home Hub, 8"" Control Panel, Compatible Devices, Four Views on One Screen, Instant Door Alerts, Daily Event Reports, One Tap Control, 64GB EMMC",eufy Security,$199.99,$199.99,0%,4.2,359,3%,,Electronics,Home Security Systems,IN_STOCK,US,https://www.amazon.com/dp/B0GQH6134D,,No,No
B0D1R47YCH,"eufy Security Solar Wall Light Cam S120 (2-Pack), Solar Security Cameras Wireless Outdoor, Built-in 8GB Storage, Motion Activated Light, AI Detection, IP65 Waterproof, Spotlight, No Monthly ",eufy Security,$189.98,$159.98,15%,4.1,1633,6%,,Electronics,Bullet Cameras,IN_STOCK,US,https://www.amazon.com/dp/B0D1R47YCH,,No,No
B0GK5LZGN6,"Anker SOLIX C1000 Portable Power Station with Alternator Charger, 1800W (Peak 2400W) Solar Generator, Full Charge in 58 Min, 1056wh LiFePO4 Battery for Home Backup, Power Outages, and Outdoo",Anker,$1398.00,$778.99,44%,4.6,2301,3%,,"Patio, Lawn & Garden",Generators,IN_STOCK,US,https://www.amazon.com/dp/B0GK5LZGN6,,No,No
B0DRFX1YDD,"Anker SOLIX EverFrost 2 Removable Battery, for 42 qt / 61 qt Portable Refrigerator",Anker,$249.00,$249.00,0%,4.3,26,13%,,Automotive,Refrigerator Parts,IN_STOCK,US,https://www.amazon.com/dp/B0DRFX1YDD,,No,No
